method,sequence,frame_count,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
pufm_pugan_4x_full,OrangeKettlebell,170,nan,nan,nan,15.81795411503859,16.83761377025376,16.327783942646175,32.65556788529235,1046.3531403422396,0.2144663243599065,0.23330810603293387,0.2233515643020491,0.4107465039345459,0.4393571472764963,0.4242354714584727,0.6982510380304956,0.7258988576910474,0.7114605708160953
pufm_pugan_4x_full,PinkNoir,201,nan,nan,nan,17.5564319105487,25.634704004481936,21.595567957515318,43.191135915030635,1682.070971522499,0.1943167189693182,0.15331421010821727,0.17118279089679944,0.36268864293182645,0.2900943880763879,0.3219305986071139,0.6351374674616996,0.5100603092424412,0.5653268064751802
pufm_pugan_4x_full,TicTacToe,165,nan,nan,nan,14.155558893542683,36.51658979089423,25.336074342218456,50.67214868443691,3531.9842107734517,0.25440436221126633,0.17645061889298408,0.20818381476406758,0.48194445260691676,0.3206233636829057,0.38492613559403266,0.7482629342702728,0.501659213817329,0.6005617861149145
pufm_pugan_4x_full,TrumanShow,171,nan,nan,nan,18.1236939872499,19.415263045343636,18.76947851629677,37.53895703259354,1347.1892986968978,0.18698981084826968,0.22008467814699798,0.2017502785241571,0.35489380953986743,0.4010450361353682,0.3757771383539354,0.6357427664927069,0.654209498344527,0.6437356977853542
pufm_pugan_4x_full,VictoryHeart,197,nan,nan,nan,16.01978280201379,15.60391981946202,15.811851310737904,31.623702621475807,933.6133577887664,0.17343570256750196,0.23587397083285178,0.19965536986681898,0.35115836930475264,0.44674793203204216,0.39306460085418954,0.6956862543401077,0.7741663407261278,0.7327804308088712
pufm_pugan_4x_full,VirtualLife,196,nan,nan,nan,14.26180342751675,19.10935607201601,16.68557974976638,33.37115949953276,1221.2053199097397,0.23387598964072356,0.22905128639519484,0.2313308684918714,0.4391165977053059,0.4180179799147913,0.4280320821101287,0.7462324972717836,0.6887692192370257,0.7161491041530675
spu_pointnet_4x_full,BlueSpeech,168,nan,nan,nan,14.132585159005481,15.938391207941349,15.035488183473413,30.070976366946827,1074.2152294270531,0.2156944570557478,0.26025317149455107,0.23565279165712805,0.41109824877970713,0.48348145104975465,0.4440272936938279,0.7506530419986369,0.7877176019791382,0.7686143250764894
spu_pointnet_4x_full,BlueVolley,171,nan,nan,nan,16.049984228077683,18.942499156801535,17.496241692439607,34.992483384879215,1286.8327529245928,0.2161037023098453,0.24422624677472252,0.22883201857603291,0.4100468283053895,0.42988171591640945,0.4190058398504384,0.7041493340911686,0.6802952319290907,0.6913550707656633
spu_pointnet_4x_full,BouncingBlue,157,nan,nan,nan,22.238572157323166,27.16621825910197,24.70239520821257,49.40479041642514,2614.586889034958,0.16158629568559668,0.1963167589022118,0.17686944158401424,0.30491397161921213,0.34092130029435924,0.32125405554729797,0.5460156008727298,0.5406550427817793,0.542658702178694
spu_pointnet_4x_full,FitFluencer,201,nan,nan,nan,13.621039946146555,20.12732255319211,16.874181249669334,33.74836249933867,1175.2708203062068,0.2614848494006698,0.22049677945757415,0.2390351163273595,0.4737775254720787,0.38751895703631123,0.4259612625648869,0.7595198129396288,0.6367348847666473,0.6925433762547288
